doc_id,parent_doc_id,chunk_index,chunk_count,chunk_text,text,document_type,title,course_code,prefix,number,level,source_page,linked_file_or_page,file_name
course_0011_CAP_6315::chunk_001,course_0011_CAP_6315,1,1,Instructor for CAP 6315 Social Networks / Big Data Analytics,"Document_Type = course_listing, Title = Social Networks, Course_Code = CAP 6315, Prefix = CAP, Number = 6315, Level = graduate, Parent_Doc_ID = course_0011_CAP_6315, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators, Linked_File_or_Page = , File_Name = , Content = Instructor for CAP 6315 Social Networks / Big Data Analytics",course_listing,Social Networks,CAP 6315,CAP,6315,graduate,https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators,,
course_0012_CAP_6315::chunk_001,course_0012_CAP_6315,1,1,CAP 6315 Social Networks and Big Data Analytics,"Document_Type = course_listing, Title = Social Networks and Big Data Analytics, Course_Code = CAP 6315, Prefix = CAP, Number = 6315, Level = graduate, Parent_Doc_ID = course_0012_CAP_6315, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6315 Social Networks and Big Data Analytics",course_listing,Social Networks and Big Data Analytics,CAP 6315,CAP,6315,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0013_CAP_6411::chunk_001,course_0013_CAP_6411,1,1,CAP 6411 Foundations of Vision,"Document_Type = course_listing, Title = Foundations of Vision, Course_Code = CAP 6411, Prefix = CAP, Number = 6411, Level = graduate, Parent_Doc_ID = course_0013_CAP_6411, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6411 Foundations of Vision",course_listing,Foundations of Vision,CAP 6411,CAP,6411,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0014_CAP_6546::chunk_001,course_0014_CAP_6546,1,1,CAP 6546 Data Mining for Bioinformatics,"Document_Type = course_listing, Title = Data Mining for Bioinformatics, Course_Code = CAP 6546, Prefix = CAP, Number = 6546, Level = graduate, Parent_Doc_ID = course_0014_CAP_6546, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6546 Data Mining for Bioinformatics",course_listing,Data Mining for Bioinformatics,CAP 6546,CAP,6546,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0015_CAP_6610::chunk_001,course_0015_CAP_6610,1,1,CAP 6610 Applied Machine Learning,"Document_Type = course_listing, Title = Applied Machine Learning, Course_Code = CAP 6610, Prefix = CAP, Number = 6610, Level = graduate, Parent_Doc_ID = course_0015_CAP_6610, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6610 Applied Machine Learning",course_listing,Applied Machine Learning,CAP 6610,CAP,6610,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0016_CAP_6617::chunk_001,course_0016_CAP_6617,1,1,CAP 6617 Sparse Learning,"Document_Type = course_listing, Title = Sparse Learning, Course_Code = CAP 6617, Prefix = CAP, Number = 6617, Level = graduate, Parent_Doc_ID = course_0016_CAP_6617, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6617 Sparse Learning",course_listing,Sparse Learning,CAP 6617,CAP,6617,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0017_CAP_6618::chunk_001,course_0017_CAP_6618,1,1,CAP 6618 Machine Learning for Computer Vision,"Document_Type = course_listing, Title = Machine Learning for Computer Vision, Course_Code = CAP 6618, Prefix = CAP, Number = 6618, Level = graduate, Parent_Doc_ID = course_0017_CAP_6618, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6618 Machine Learning for Computer Vision",course_listing,Machine Learning for Computer Vision,CAP 6618,CAP,6618,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0018_CAP_6619::chunk_001,course_0018_CAP_6619,1,1,CAP 6619,"Document_Type = course_listing, Title = , Course_Code = CAP 6619, Prefix = CAP, Number = 6619, Level = graduate, Parent_Doc_ID = course_0018_CAP_6619, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-certificate-ai/, Linked_File_or_Page = , File_Name = , Content = CAP 6619",course_listing,,CAP 6619,CAP,6619,graduate,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-certificate-ai/,,
course_0019_CAP_6619::chunk_001,course_0019_CAP_6619,1,1,CAP 6619 Deep Learning,"Document_Type = course_listing, Title = Deep Learning, Course_Code = CAP 6619, Prefix = CAP, Number = 6619, Level = graduate, Parent_Doc_ID = course_0019_CAP_6619, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6619 Deep Learning",course_listing,Deep Learning,CAP 6619,CAP,6619,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0020_CAP_6619::chunk_001,course_0020_CAP_6619,1,1,DSA courses include: CAP 6673 Data Mining and Machine Learning CAP 5768 Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval,"Document_Type = course_listing, Title = Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval, Course_Code = CAP 6619, Prefix = CAP, Number = 6619, Level = graduate, Parent_Doc_ID = course_0020_CAP_6619, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-phd/degree-req/, Linked_File_or_Page = , File_Name = , Content = DSA courses include: CAP 6673 Data Mining and Machine Learning CAP 5768 Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval",course_listing,Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval,CAP 6619,CAP,6619,graduate,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-phd/degree-req/,,
course_0021_CAP_6629::chunk_001,course_0021_CAP_6629,1,1,CAP 6629,"Document_Type = course_listing, Title = , Course_Code = CAP 6629, Prefix = CAP, Number = 6629, Level = graduate, Parent_Doc_ID = course_0021_CAP_6629, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-certificate-ai/, Linked_File_or_Page = , File_Name = , Content = CAP 6629",course_listing,,CAP 6629,CAP,6629,graduate,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-certificate-ai/,,
course_0022_CAP_6629::chunk_001,course_0022_CAP_6629,1,1,Instructor for CAP 6629 Reinforcement Learning,"Document_Type = course_listing, Title = Reinforcement Learning, Course_Code = CAP 6629, Prefix = CAP, Number = 6629, Level = graduate, Parent_Doc_ID = course_0022_CAP_6629, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators, Linked_File_or_Page = , File_Name = , Content = Instructor for CAP 6629 Reinforcement Learning",course_listing,Reinforcement Learning,CAP 6629,CAP,6629,graduate,https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators,,
course_0023_CAP_6635::chunk_001,course_0023_CAP_6635,1,1,CAP 6635,"Document_Type = course_listing, Title = , Course_Code = CAP 6635, Prefix = CAP, Number = 6635, Level = graduate, Parent_Doc_ID = course_0023_CAP_6635, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-ms-ai/, Linked_File_or_Page = , File_Name = , Content = CAP 6635",course_listing,,CAP 6635,CAP,6635,graduate,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-ms-ai/,,
course_0024_CAP_6635::chunk_001,course_0024_CAP_6635,1,1,CAP 6635 Artificial Intelligence,"Document_Type = course_listing, Title = Artificial Intelligence, Course_Code = CAP 6635, Prefix = CAP, Number = 6635, Level = graduate, Parent_Doc_ID = course_0024_CAP_6635, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6635 Artificial Intelligence",course_listing,Artificial Intelligence,CAP 6635,CAP,6635,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0025_CAP_6635::chunk_001,course_0025_CAP_6635,1,1,DSA courses include: CAP 6673 Data Mining and Machine Learning CAP 5768 Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval,"Document_Type = course_listing, Title = Artificial Intelligence CAP 6776 Information Retrieval, Course_Code = CAP 6635, Prefix = CAP, Number = 6635, Level = graduate, Parent_Doc_ID = course_0025_CAP_6635, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-phd/degree-req/, Linked_File_or_Page = , File_Name = , Content = DSA courses include: CAP 6673 Data Mining and Machine Learning CAP 5768 Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval",course_listing,Artificial Intelligence CAP 6776 Information Retrieval,CAP 6635,CAP,6635,graduate,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-phd/degree-req/,,
course_0026_CAP_6635::chunk_001,course_0026_CAP_6635,1,1,Distinguished Guest Speaker for CAP 6635 Artificial Intelligence on 02/28/2025,"Document_Type = course_listing, Title = Artificial Intelligence on 02/28/2025, Course_Code = CAP 6635, Prefix = CAP, Number = 6635, Level = graduate, Parent_Doc_ID = course_0026_CAP_6635, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators, Linked_File_or_Page = , File_Name = , Content = Distinguished Guest Speaker for CAP 6635 Artificial Intelligence on 02/28/2025",course_listing,Artificial Intelligence on 02/28/2025,CAP 6635,CAP,6635,graduate,https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators,,
course_0027_CAP_6640::chunk_001,course_0027_CAP_6640,1,1,CAP 6640 Natural Language Processing,"Document_Type = course_listing, Title = Natural Language Processing, Course_Code = CAP 6640, Prefix = CAP, Number = 6640, Level = graduate, Parent_Doc_ID = course_0027_CAP_6640, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6640 Natural Language Processing",course_listing,Natural Language Processing,CAP 6640,CAP,6640,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0028_CAP_6673::chunk_001,course_0028_CAP_6673,1,1,CAP 6673,"Document_Type = course_listing, Title = , Course_Code = CAP 6673, Prefix = CAP, Number = 6673, Level = graduate, Parent_Doc_ID = course_0028_CAP_6673, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-ms-ai/, Linked_File_or_Page = , File_Name = , Content = CAP 6673",course_listing,,CAP 6673,CAP,6673,graduate,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-ms-ai/,,
course_0029_CAP_6673::chunk_001,course_0029_CAP_6673,1,1,CAP 6673 Data Mining and Machine Learning,"Document_Type = course_listing, Title = Data Mining and Machine Learning, Course_Code = CAP 6673, Prefix = CAP, Number = 6673, Level = graduate, Parent_Doc_ID = course_0029_CAP_6673, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6673 Data Mining and Machine Learning",course_listing,Data Mining and Machine Learning,CAP 6673,CAP,6673,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0030_CAP_6673::chunk_001,course_0030_CAP_6673,1,1,DSA courses include: CAP 6673 Data Mining and Machine Learning CAP 5768 Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval,"Document_Type = course_listing, Title = Data Mining and Machine Learning CAP 5768 Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Info, Course_Code = CAP 6673, Prefix = CAP, Number = 6673, Level = graduate, Parent_Doc_ID = course_0030_CAP_6673, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-phd/degree-req/, Linked_File_or_Page = , File_Name = , Content = DSA courses include: CAP 6673 Data Mining and Machine Learning CAP 5768 Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval",course_listing,Data Mining and Machine Learning CAP 5768 Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Info,CAP 6673,CAP,6673,graduate,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-phd/degree-req/,,
course_0031_CAP_6683::chunk_001,course_0031_CAP_6683,1,1,Distinguished Guest Speaker for CAP 6683 on 10/6/22,"Document_Type = course_listing, Title = on 10/6/22, Course_Code = CAP 6683, Prefix = CAP, Number = 6683, Level = graduate, Parent_Doc_ID = course_0031_CAP_6683, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators, Linked_File_or_Page = , File_Name = , Content = Distinguished Guest Speaker for CAP 6683 on 10/6/22",course_listing,on 10/6/22,CAP 6683,CAP,6683,graduate,https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators,,
course_0032_CAP_6683::chunk_001,course_0032_CAP_6683,1,1,Distinguished Guest Speaker for CAP 6683 on 11/15/22,"Document_Type = course_listing, Title = on 11/15/22, Course_Code = CAP 6683, Prefix = CAP, Number = 6683, Level = graduate, Parent_Doc_ID = course_0032_CAP_6683, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators, Linked_File_or_Page = , File_Name = , Content = Distinguished Guest Speaker for CAP 6683 on 11/15/22",course_listing,on 11/15/22,CAP 6683,CAP,6683,graduate,https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators,,
course_0033_CAP_6683::chunk_001,course_0033_CAP_6683,1,1,Distinguished Guest Speaker for CAP 6683 on 11/22/22,"Document_Type = course_listing, Title = on 11/22/22, Course_Code = CAP 6683, Prefix = CAP, Number = 6683, Level = graduate, Parent_Doc_ID = course_0033_CAP_6683, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators, Linked_File_or_Page = , File_Name = , Content = Distinguished Guest Speaker for CAP 6683 on 11/22/22",course_listing,on 11/22/22,CAP 6683,CAP,6683,graduate,https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators,,
course_0034_CAP_6683::chunk_001,course_0034_CAP_6683,1,1,Distinguished Guest Speaker for CAP 6683 on 11/29/22,"Document_Type = course_listing, Title = on 11/29/22, Course_Code = CAP 6683, Prefix = CAP, Number = 6683, Level = graduate, Parent_Doc_ID = course_0034_CAP_6683, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators, Linked_File_or_Page = , File_Name = , Content = Distinguished Guest Speaker for CAP 6683 on 11/29/22",course_listing,on 11/29/22,CAP 6683,CAP,6683,graduate,https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators,,
course_0035_CAP_6776::chunk_001,course_0035_CAP_6776,1,1,CAP 6776,"Document_Type = course_listing, Title = , Course_Code = CAP 6776, Prefix = CAP, Number = 6776, Level = graduate, Parent_Doc_ID = course_0035_CAP_6776, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-certificate-big-data-analytics, Linked_File_or_Page = , File_Name = , Content = CAP 6776",course_listing,,CAP 6776,CAP,6776,graduate,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-certificate-big-data-analytics,,
course_0036_CAP_6776::chunk_001,course_0036_CAP_6776,1,1,CAP 6776 Information Retrieval,"Document_Type = course_listing, Title = Information Retrieval, Course_Code = CAP 6776, Prefix = CAP, Number = 6776, Level = graduate, Parent_Doc_ID = course_0036_CAP_6776, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6776 Information Retrieval",course_listing,Information Retrieval,CAP 6776,CAP,6776,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0037_CAP_6777::chunk_001,course_0037_CAP_6777,1,1,CAP 6777 Web Mining,"Document_Type = course_listing, Title = Web Mining, Course_Code = CAP 6777, Prefix = CAP, Number = 6777, Level = graduate, Parent_Doc_ID = course_0037_CAP_6777, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6777 Web Mining",course_listing,Web Mining,CAP 6777,CAP,6777,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0038_CAP_6778::chunk_001,course_0038_CAP_6778,1,1,CAP 6778 Advanced Data Mining and Machine Learning,"Document_Type = course_listing, Title = Advanced Data Mining and Machine Learning, Course_Code = CAP 6778, Prefix = CAP, Number = 6778, Level = graduate, Parent_Doc_ID = course_0038_CAP_6778, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6778 Advanced Data Mining and Machine Learning",course_listing,Advanced Data Mining and Machine Learning,CAP 6778,CAP,6778,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0039_CAP_6780::chunk_001,course_0039_CAP_6780,1,1,CAP 6780 Big Data Analytics with Hadoop,"Document_Type = course_listing, Title = Big Data Analytics with Hadoop, Course_Code = CAP 6780, Prefix = CAP, Number = 6780, Level = graduate, Parent_Doc_ID = course_0039_CAP_6780, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6780 Big Data Analytics with Hadoop",course_listing,Big Data Analytics with Hadoop,CAP 6780,CAP,6780,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0040_CAP_6807::chunk_001,course_0040_CAP_6807,1,1,CAP 6807 Computational Advertising and Real-Time Data Analytics,"Document_Type = course_listing, Title = Computational Advertising and Real-Time Data Analytics, Course_Code = CAP 6807, Prefix = CAP, Number = 6807, Level = graduate, Parent_Doc_ID = course_0040_CAP_6807, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6807 Computational Advertising and Real-Time Data Analytics",course_listing,Computational Advertising and Real-Time Data Analytics,CAP 6807,CAP,6807,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0041_CDA_5326::chunk_001,course_0041_CDA_5326,1,1,CDA 5326 Cryptographic Engineering,"Document_Type = course_listing, Title = Cryptographic Engineering, Course_Code = CDA 5326, Prefix = CDA, Number = 5326, Level = graduate, Parent_Doc_ID = course_0041_CDA_5326, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CDA 5326 Cryptographic Engineering",course_listing,Cryptographic Engineering,CDA 5326,CDA,5326,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0042_CDA_6122::chunk_001,course_0042_CDA_6122,1,1,CDA 6122 Evaluation of Parallel and Distributed Systems,"Document_Type = course_listing, Title = Evaluation of Parallel and Distributed Systems, Course_Code = CDA 6122, Prefix = CDA, Number = 6122, Level = graduate, Parent_Doc_ID = course_0042_CDA_6122, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CDA 6122 Evaluation of Parallel and Distributed Systems",course_listing,Evaluation of Parallel and Distributed Systems,CDA 6122,CDA,6122,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0043_CDA_6132::chunk_001,course_0043_CDA_6132,1,1,CDA 6132 Multiprocessor Architecture,"Document_Type = course_listing, Title = Multiprocessor Architecture, Course_Code = CDA 6132, Prefix = CDA, Number = 6132, Level = graduate, Parent_Doc_ID = course_0043_CDA_6132, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CDA 6132 Multiprocessor Architecture",course_listing,Multiprocessor Architecture,CDA 6132,CDA,6132,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
