query_id,rank,bm25_doc_id,bm25_score,dense_doc_id,dense_score
q13,1,pdf_0328_cda6214structured-vlsi-design::chunk_001,30.4973,pdf_0328_cda6214structured-vlsi-design::chunk_001,0.6924
q13,2,pdf_0319_cda3201c-intro-logic-design::chunk_001,21.5235,pdf_0323_cda4210intro-vlsi-design::chunk_001,0.6796
q13,3,pdf_0322_cda4204cad-based-computer-design::chunk_001,21.1506,course_0158_CDA_4210::chunk_001,0.676
q13,4,pdf_0320_cda3331c-intro-microprocessor-system::chunk_001,20.865,pdf_0322_cda4204cad-based-computer-design::chunk_001,0.6725
q13,5,pdf_0323_cda4210intro-vlsi-design::chunk_001,20.2848,course_0044_CDA_6214::chunk_001,0.6459
q14,1,pdf_0412_eecs-low-residency-phd-form::chunk_001,62.742,pdf_0411_eecs-eac-conflict-of-interest::chunk_001,0.6897
q14,2,pdf_0293_bsphd-grad-pathway-scholarship-application::chunk_001,50.0632,pdf_0493_ms-egit-csda-worksheet::chunk_002,0.6418
q14,3,pdf_0480_grad-pathway-scholarship-application::chunk_001,46.6317,pdf_0494_ms-egit-csec-worksheet::chunk_002,0.6393
q14,4,pdf_0479_grad-pathway-scholarship-application-revised::chunk_001,46.2981,pdf_0412_eecs-low-residency-phd-form::chunk_001,0.6322
q14,5,pdf_0411_eecs-eac-conflict-of-interest::chunk_001,43.9602,pdf_0492_ms-egit-ait-worksheet::chunk_002,0.6288
